Product,Revenue,Session,Time
NCELIG,10580,3.545454545,8.455692659
ORYNTE,3000518,3.285714286,11.42358316
BIASXB,10490,4.525,8.448847899
RNSMPL,10486,5.76744186,11.80590201
TLSCFR,10480,5.1875,12.61301923
LYSPIS,10390,4.055555556,12.1955019
DCMORY,10295,4.087719298,8.023359099
TLSZYR,10242,3.82,6.397959629
NTEMAN,10151,3.108108108,5.874778353
MXPNTE,9869,3.692307692,8.751208059
XDBBCN,9567,5.021276596,9.342367458
ORYLAI,9506,4.898305085,10.8401057
XDBGVA,9361,5.38028169,8.384045379
FRAJFK,9232,5.833333333,10.98455479
DUSMRS,9200,3.841121495,8.295807183
GVAXDB,9082,4.917808219,9.51789135
MRSBSL,8996,3.74025974,8.808064683
BRUNTE,8583,4.416666667,9.908212385
LYSLRH,8229,5.711111111,8.216166298
MXPTLS,8059,4.96,11.34757485
BHXLYS,8006.98,5.833333333,9.856356249
BSLMRS,7892,3.415384615,7.313196641
LAIORY,7857,4.172413793,8.528533405
DUSTLS,7841,3.342857143,7.075995616
CPHMRS,7714,4.436363636,10.18200967
BCNNTE,7568,2.288888889,3.216862159
FCONCE,7550,3.719298246,7.621372661
CGNCDG,7501,4.157894737,5.874464638
LEJCDG,6980,5.131578947,9.137687134
AURORY,6784,2.769230769,7.601453704
LYSMRS,6574,4.125,10.07655987
MRSLYS,5992,4.115384615,10.4212455
FSCNCE,5605,3.2,8.493455706
HAMTLS,5263,5.1,6.762854989
BSLAMS,5193,4.5,11.32470519
PRGMRS,5061,4.88372093,7.467578422
DUSNTE,4979,2.4,7.105757589
STRLYS,4696,5.675,9.003096054
LCYPUF,4621.71,4,9.396708851
CLYNCE,3930,4.642857143,9.196137645
MUCBOD,3606,4.2,10.68304596
HAMLYS,3524,5,12.61500305
MUCNTE,3363,5.529411765,11.62684728
TXLMRS,3327,4.333333333,6.639817321
STRTLS,3246,4.208333333,8.568811327
LHRABJ,3169.9,4.285714286,4.289811392
LCYDND,3033.88,2,9.477010909
LCYLUX,3024.28,4.904761905,11.35672786
LHRDLA,2994.95,2.25,1.640049074
LHRJNB,2891.69,5,5.61234019
HAMBOD,2798,3,6.632156571
FRAHAV,2680,4.25,9.954546403
DUSBOD,2457,2.75,4.957403375
TXLBOD,2447,5.071428571,12.19322168
LHRCPT,2340.48,6,3.037978449
TXLMPL,2283,1.714285714,4.418817151
LCYDUB,2139.27,6.75,10.49718982
HAMMRS,2129,5.666666667,11.80773606
CWLCDG,1874.05,3.307692308,9.48045285
TXLTLS,1784,2.529411765,4.637423785
MANNTE,1780.11,2,4.071860116
FRAFCO,1577,1.833333333,1.697843989
LHRBOG,1377.62,5,9.847168443
FRABOD,1352,4,6.723940928
LCYLIN,1200.82,2.5,2.809717049
AMSLCY,1171,9,21.98346797
MANJNB,1170.24,2,4.035456806
LHRHAV,1120.5,2,8.055344433
LHRFIH,1084.65,6,4.14214419
LHRFNA,1011.23,1,0.034714155
LCYAMS,866.82,7.285714286,10.20035744
DUBLCY,866,1,0.010264095
LHRHKG,819.68,3,1.039252101
LCYANR,682.33,4.5,4.778597376
LHROTP,604.04,3,8.65824539
LCYRTM,547.25,12,19.41191843
FLRLCY,473,2,3.681384599
LHRPEK,418.62,2,0.084630509
LCYFLR,319.38,5,15.35191229
LHRIST,198.6,16,14.22712215
FRALIN,172,1,0.025591204
MANANR,129.26,1,0.023326678
EDILCY,102.04,10,7.385113345
LCYEDI,95.93,1,0.016305822
MUCFCO,65,3,18.20564557
