Product,Revenue,Session,Time
CDGKIX,240600,4.666666667,10.85319535
LYSPTP,236944,4.765,8.931663454
NCELIL,236766,3.952380952,8.346307191
NTERUN,235139,4.439490446,6.694141481
ORYLDE,231209,4.026128266,8.833050601
TLSFDF,231140,4.363636364,8.729939578
SXBNCE,230854,3.885941645,8.876446466
SXBTLS,227549,3.977389517,8.364016921
CDGMRS,226689,4.000706714,8.848198418
ORYCLY,224020,5.953773585,9.62285543
CDGSGN,223108,4.153846154,9.32817961
CDGMCO,222919,5.785365854,9.290687622
NCESXB,222629,4.071962617,8.909939732
JFKCDG,214642.88,5.473684211,10.46618611
LILBOD,211688,4.651796778,8.651299281
LDEORY,211602,4.264516129,9.143540696
CDGORD,211586,4.783783784,9.375907874
MPLCDG,203133,4.254,7.767643989
CDGZRH,202786,4.772230889,11.12635909
LYSBIQ,202687,4.252702703,9.232880984
CDGCPT,200761.29,4.245283019,8.005069161
LYSRUN,196876,4.2,7.744179538
MLHORY,195337,4.431049436,10.65985955
CDGTRN,190924,4.880690738,9.828093907
BODSXB,190587,4.094793057,8.361353214
CDGMAN,190475,4.466537342,9.310271404
BODLIL,188513,4.540897098,9.286762935
ORYLIN,187311,5.795698925,12.22509493
CDGCKY,185838,4.19,8.779951219
ORYMLH,184914,4.743434343,10.77377599
NCEJFK,184773,5.662790698,11.04299093
MRSBEY,184476,5.022613065,8.676817517
NCEFDF,183885,5.136986301,11.67589644
ORYBCN,181160,4.876675603,10.28318832
MPLNTE,179196,4.319946452,8.739343272
LYSFDF,178592,5.06097561,8.567846017
ORYMAD,177386,4.640401146,9.69905185
MRSSXB,172731,4.383597884,9.717850517
CDGBOM,172495.93,5.148760331,10.02609434
PUFCDG,170889,4.564534231,8.260854448
CDGHAJ,170236,5.034759358,11.42382449
TLSRNS,169053,4.784855769,9.348587252
CDGBZV,167451,4.872483221,8.775918212
ORYCFE,166627,4.408967391,10.31468703
MRSBIA,166311,3.376827897,7.562705071
CDGVLC,165670,4.140730717,8.633012432
CDGHND,158556,6.686746988,12.26592192
MRSJFK,158321,4.601226994,8.63974842
SXBBOD,156886,4.782131661,9.624017961
CDGPNH,155865.74,4.096774194,8.473588834
MRSRNS,154747,4.007186858,7.830068381
CDGYYZ,154621,5.850340136,10.22619865
CDGSEA,153839,5.198019802,8.643967246
CDGNUE,152225,4.622047244,9.388620787
NTETLS,152099,4.355176933,9.356221366
CDGATL,151052,6.928571429,9.982561583
CDGSDQ,149989,5.654761905,10.19950285
MRSAJA,149770,3.439797212,7.637113043
CDGPUF,149199,4.0755886,9.005344364
MPLFDF,148952,5.408163265,9.593280634
CDGMPL,147505,4.437900128,8.908804168
NCEPTP,147417,5.820512821,9.380767286
CDGBHX,147367,4.390666667,8.793920371
RNSTLS,146390,4.123943662,8.337909596
CDGHEL,146375,5.197183099,9.321539847
LYSBES,145635,4.204182042,8.154467856
MRSCMN,145566,3.712912088,6.566182788
NTEPTP,144437,4.284482759,7.574900241
